filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
WIN_20240210_20_24_18_Pro.jpg,284720,"{}",1,0,"{""name"":""rect"",""x"":1128,""y"":338,""width"":283,""height"":431}","{""Hand Gesture"":""2 Finger Pinch""}"
WIN_20240210_20_24_19_Pro.jpg,284224,"{}",1,0,"{""name"":""rect"",""x"":1058,""y"":345,""width"":376,""height"":449}","{""Hand Gesture"":""2 Finger Pinch""}"
WIN_20240210_20_24_20_Pro (2).jpg,280884,"{}",1,0,"{""name"":""rect"",""x"":1428,""y"":325,""width"":280,""height"":429}","{""Hand Gesture"":""2 Finger Pinch""}"
WIN_20240210_20_24_20_Pro.jpg,273409,"{}",1,0,"{""name"":""rect"",""x"":483,""y"":81,""width"":403,""height"":395}","{""Hand Gesture"":""2 Finger Pinch""}"
WIN_20240210_20_24_21_Pro (2).jpg,275069,"{}",1,0,"{""name"":""rect"",""x"":1547,""y"":609,""width"":264,""height"":297}","{""Hand Gesture"":""2 Finger Pinch""}"
WIN_20240210_20_24_21_Pro.jpg,276394,"{}",1,0,"{""name"":""rect"",""x"":1349,""y"":401,""width"":273,""height"":401}","{""Hand Gesture"":""2 Finger Pinch""}"
WIN_20240210_20_24_22_Pro (2).jpg,282681,"{}",1,0,"{""name"":""rect"",""x"":847,""y"":6,""width"":408,""height"":366}","{""Hand Gesture"":""2 Finger Pinch""}"
WIN_20240210_20_24_22_Pro.jpg,272777,"{}",1,0,"{""name"":""rect"",""x"":1070,""y"":469,""width"":319,""height"":366}","{""Hand Gesture"":""2 Finger Pinch""}"
WIN_20240210_20_24_23_Pro.jpg,281487,"{}",1,0,"{""name"":""rect"",""x"":1540,""y"":90,""width"":267,""height"":430}","{""Hand Gesture"":""2 Finger Pinch""}"
WIN_20240210_20_24_24_Pro (2).jpg,281940,"{}",1,0,"{""name"":""rect"",""x"":1430,""y"":0,""width"":291,""height"":365}","{""Hand Gesture"":""2 Finger Pinch""}"
WIN_20240210_20_24_24_Pro.jpg,279251,"{}",1,0,"{""name"":""rect"",""x"":1501,""y"":348,""width"":256,""height"":413}","{""Hand Gesture"":""2 Finger Pinch""}"
WIN_20240210_20_24_25_Pro (2).jpg,279948,"{}",1,0,"{""name"":""rect"",""x"":610,""y"":549,""width"":504,""height"":374}","{""Hand Gesture"":""2 Finger Pinch""}"
WIN_20240210_20_24_25_Pro.jpg,264549,"{}",1,0,"{""name"":""rect"",""x"":669,""y"":57,""width"":486,""height"":441}","{""Hand Gesture"":""2 Finger Pinch""}"
WIN_20240210_20_24_26_Pro (2).jpg,275634,"{}",1,0,"{""name"":""rect"",""x"":1470,""y"":144,""width"":213,""height"":415}","{""Hand Gesture"":""2 Finger Pinch""}"
WIN_20240210_20_24_26_Pro.jpg,273022,"{}",1,0,"{""name"":""rect"",""x"":1375,""y"":384,""width"":300,""height"":441}","{""Hand Gesture"":""2 Finger Pinch""}"
WIN_20240210_20_24_27_Pro (2).jpg,279931,"{}",1,0,"{""name"":""rect"",""x"":861,""y"":744,""width"":400,""height"":330}","{""Hand Gesture"":""2 Finger Pinch""}"
WIN_20240210_20_24_27_Pro.jpg,276097,"{}",1,0,"{""name"":""rect"",""x"":1357,""y"":733,""width"":277,""height"":335}","{""Hand Gesture"":""2 Finger Pinch""}"
WIN_20240210_20_24_28_Pro (2).jpg,274242,"{}",1,0,"{""name"":""rect"",""x"":1500,""y"":603,""width"":246,""height"":366}","{""Hand Gesture"":""2 Finger Pinch""}"
WIN_20240210_20_24_28_Pro.jpg,274351,"{}",1,0,"{""name"":""rect"",""x"":1144,""y"":704,""width"":344,""height"":354}","{""Hand Gesture"":""2 Finger Pinch""}"
WIN_20240210_20_24_29_Pro (2).jpg,273062,"{}",1,0,"{""name"":""rect"",""x"":1141,""y"":254,""width"":294,""height"":451}","{""Hand Gesture"":""2 Finger Pinch""}"
WIN_20240210_20_24_29_Pro.jpg,273224,"{}",1,0,"{""name"":""rect"",""x"":1505,""y"":513,""width"":266,""height"":383}","{""Hand Gesture"":""2 Finger Pinch""}"
